trip_id,route_id,service_id,trip_headsign,direction_id
120662,MB,invs_22_02.pex,Etxebarri,1
120663,MB,invs_22_02.pex,Plentzia,0
120664,MB,invs_22_02.pex,Etxebarri,1
120665,MB,invs_22_02.pex,Plentzia,0
120666,MB,invs_22_02.pex,Etxebarri,1
120667,MB,invs_22_02.pex,Plentzia,0
120668,MB,invs_22_02.pex,Etxebarri,1
120669,MB,invs_22_02.pex,Plentzia,0
120670,MB,invs_22_02.pex,Etxebarri,1
120671,MB,invs_22_02.pex,Plentzia,0
120672,MB,invs_22_02.pex,Etxebarri,1
120673,MB,invs_22_02.pex,Plentzia,0
120674,MB,invs_22_02.pex,Etxebarri,1
120675,MB,invs_22_02.pex,Plentzia,0
120676,MB,invs_22_02.pex,Etxebarri,1
120677,MB,invs_22_02.pex,Plentzia,0
120678,MB,invs_22_02.pex,Plentzia,0
120679,MB,invs_22_02.pex,Basauri,1
120680,MB,invs_22_02.pex,Kabiezes,0
120681,MB,invs_22_02.pex,Basauri,1
120682,MB,invs_22_02.pex,Kabiezes,0
94657,MB,invl_22_02.pex,Plentzia,0
94658,MB,invl_22_02.pex,Etxebarri,1
94659,MB,invl_22_02.pex,Plentzia,0
94660,MB,invl_22_02.pex,Etxebarri,1
94661,MB,invl_22_02.pex,Plentzia,0
94662,MB,invl_22_02.pex,Etxebarri,1
94663,MB,invl_22_02.pex,Plentzia,0
94664,MB,invl_22_02.pex,Etxebarri,1
94665,MB,invl_22_02.pex,Etxebarri,1
94666,MB,invl_22_02.pex,Basauri,1
94667,MB,invl_22_02.pex,Kabiezes,0
94668,MB,invl_22_02.pex,Basauri,1
94669,MB,invl_22_02.pex,Kabiezes,0
94670,MB,invl_22_02.pex,Basauri,1
94671,MB,invl_22_02.pex,Kabiezes,0
94672,MB,invl_22_02.pex,Basauri,1
94673,MB,invl_22_02.pex,Kabiezes,0
94674,MB,invl_22_02.pex,Basauri,1
94675,MB,invl_22_02.pex,Kabiezes,0
94676,MB,invl_22_02.pex,Basauri,1
94677,MB,invl_22_02.pex,Kabiezes,0
94678,MB,invl_22_02.pex,Basauri,1
94679,MB,invl_22_02.pex,Kabiezes,0
94680,MB,invl_22_02.pex,Basauri,1
94681,MB,invl_22_02.pex,Kabiezes,0
94682,MB,invl_22_02.pex,Basauri,1
94683,MB,invl_22_02.pex,Kabiezes,0
94684,MB,invl_22_02.pex,Basauri,1
94685,MB,invl_22_02.pex,Kabiezes,0
94686,MB,invl_22_02.pex,Basauri,1
94687,MB,invl_22_02.pex,Basauri,1
94688,MB,invl_22_02.pex,Kabiezes,0
94689,MB,invl_22_02.pex,Basauri,1
94690,MB,invl_22_02.pex,Kabiezes,0
94691,MB,invl_22_02.pex,Basauri,1
94692,MB,invl_22_02.pex,Kabiezes,0
94693,MB,invl_22_02.pex,Basauri,1
94694,MB,invl_22_02.pex,Kabiezes,0
94695,MB,invl_22_02.pex,Basauri,1
94696,MB,invl_22_02.pex,Kabiezes,0
94697,MB,invl_22_02.pex,Basauri,1
94698,MB,invl_22_02.pex,Kabiezes,0
94699,MB,invl_22_02.pex,Basauri,1
94700,MB,invl_22_02.pex,Etxebarri,1
94701,MB,invl_22_02.pex,Ibarbengoa,0
94702,MB,invl_22_02.pex,Etxebarri,1
94703,MB,invl_22_02.pex,Ibarbengoa,0
94704,MB,invl_22_02.pex,Plentzia,0
94705,MB,invl_22_02.pex,Etxebarri,1
94706,MB,invl_22_02.pex,Plentzia,0
94707,MB,invl_22_02.pex,Etxebarri,1
94708,MB,invl_22_02.pex,Plentzia,0
94709,MB,invl_22_02.pex,Etxebarri,1
94710,MB,invl_22_02.pex,Ibarbengoa,0
94711,MB,invl_22_02.pex,Etxebarri,1
94712,MB,invl_22_02.pex,Larrabasterra,0
94713,MB,invl_22_02.pex,Etxebarri,1
94714,MB,invl_22_02.pex,Larrabasterra,0
94715,MB,invl_22_02.pex,Etxebarri,1
94716,MB,invl_22_02.pex,Larrabasterra,0
94717,MB,invl_22_02.pex,Etxebarri,1
94718,MB,invl_22_02.pex,Larrabasterra,0
94719,MB,invl_22_02.pex,Etxebarri,1
94720,MB,invl_22_02.pex,Larrabasterra,0
94721,MB,invl_22_02.pex,Sopela,0
94722,MB,invl_22_02.pex,Plentzia,0
94723,MB,invl_22_02.pex,Etxebarri,1
94724,MB,invl_22_02.pex,Plentzia,0
94725,MB,invl_22_02.pex,Etxebarri,1
94726,MB,invl_22_02.pex,Plentzia,0
94727,MB,invl_22_02.pex,Etxebarri,1
94728,MB,invl_22_02.pex,Basauri,1
94729,MB,invl_22_02.pex,Kabiezes,0
94730,MB,invl_22_02.pex,Basauri,1
94731,MB,invl_22_02.pex,Kabiezes,0
94732,MB,invl_22_02.pex,Basauri,1
94733,MB,invl_22_02.pex,Kabiezes,0
94734,MB,invl_22_02.pex,Basauri,1
94735,MB,invl_22_02.pex,Kabiezes,0
94736,MB,invl_22_02.pex,Basauri,1
94737,MB,invl_22_02.pex,Kabiezes,0
94738,MB,invl_22_02.pex,Basauri,1
94739,MB,invl_22_02.pex,Kabiezes,0
94740,MB,invl_22_02.pex,Basauri,1
94741,MB,invl_22_02.pex,Kabiezes,0
94742,MB,invl_22_02.pex,Basauri,1
94743,MB,invl_22_02.pex,Kabiezes,0
94744,MB,invl_22_02.pex,Basauri,1
94745,MB,invl_22_02.pex,Kabiezes,0
94746,MB,invl_22_02.pex,Basauri,1
94747,MB,invl_22_02.pex,Kabiezes,0
94748,MB,invl_22_02.pex,Kabiezes,0
94749,MB,invl_22_02.pex,Etxebarri,1
94750,MB,invl_22_02.pex,Ibarbengoa,0
94751,MB,invl_22_02.pex,Etxebarri,1
94752,MB,invl_22_02.pex,Ibarbengoa,0
94753,MB,invl_22_02.pex,Etxebarri,1
94754,MB,invl_22_02.pex,Ibarbengoa,0
94755,MB,invl_22_02.pex,Etxebarri,1
94756,MB,invl_22_02.pex,Ibarbengoa,0
94757,MB,invl_22_02.pex,Etxebarri,1
94758,MB,invl_22_02.pex,Larrabasterra,0
94759,MB,invl_22_02.pex,Sopela,0
124256,MB,invv_22_02.pex,Etxebarri,1
